ASSESSID,commonname,stocklong,scientificname,Years,TB,SSB,TN,R,TC,TL,F,ER,REGION,EW
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1990,24254800,15680800,,1.45E+13,,3663284,,0.151033362,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1991,22167300,13384900,,1.76E+13,,3757203,,0.169493037,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1992,19579900,11120200,,1.71E+13,,3222286,,0.164571116,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1993,16958000,9320140,,1.34E+13,,3229028,,0.190413256,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1994,14749900,7340660,,1.35E+13,,4044113,,0.274179011,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1995,12104300,4746790,,1.27E+13,,4756979,,0.392999099,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1996,8731870,2973470,,1.36E+13,,3696531,,0.423337842,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1997,7070470,1703220,,1.81E+13,,3032044,,0.42883203,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1998,6314210,1363410,,2.17E+13,,1906005,,0.301859615,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1999,6800170,1710450,,2.10E+13,,1276683,,0.187742806,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2000,8063980,2437750,,2.23E+13,,1490854,,0.184878187,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2001,9018750,2771090,,1.86E+13,,2389435,,0.264940818,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2002,8564480,3227040,,1.52E+13,,1635247,,0.1909336,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2003,8614220,3640570,,1.09E+13,,1707492,,0.198217831,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2004,8337300,3692300,,1.15E+13,,1849180,,0.221796025,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2005,7704110,3520080,,9.79E+12,,1704860,,0.221292271,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2006,6762010,2980810,,3.44E+12,,1989203,,0.29417333,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2007,5311900,2276070,,3.14E+12,,1918129,,0.36110036,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2008,3808150,1543950,,4.41E+12,,1422334,,0.373497367,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2009,2773950,792130,,5.30E+12,,1194184,,0.430499468,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,2010,2362660,484120,,1.01E+13,,744495,,0.315108818,S Pacific,E
CMACKPCOAST,Pacific chub mackerel,Pacific chub mackerel Pacific Coast,Scomber japonicus,1929,,1089110,,2832540000,25733.5,25733.5,0.00237939,,N Pacific,W
CMACKPCOAST,Pacific chub mackerel,Pacific chub mackerel Pacific Coast,Scomber japonicus,1930,,996757,,2466690000,5825.88,5825.88,0.000504237,,N Pacific,W
CMACKPCOAST,Pacific chub mackerel,Pacific chub mackerel Pacific Coast,Scomber japonicus,1931,,963593,,2356700000,6890.14,6890.14,0.00057381,,N Pacific,W
CMACKPCOAST,Pacific chub mackerel,Pacific chub mackerel Pacific Coast,Scomber japonicus,1932,,928197,,866344000,4938.95,4938.95,0.000430282,,N Pacific,W
CMACKPCOAST,Pacific chub mackerel,Pacific chub mackerel Pacific Coast,Scomber japonicus,1933,,840657,,564630000,33072.2,33072.2,0.00352133,,N Pacific,W
CMACKPCOAST,Pacific chub mackerel,Pacific chub mackerel Pacific Coast,Scomber japonicus,1934,,712147,,441430000,51483.8,51483.8,0.00720836,,N Pacific,W
